"Date","Result","WhiteElo","BlackElo","NMoves","game_id","Player","Name"
"2021.06.07","Jan-00",2436,2474,46,16059046,"WhitePlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2474,46,16059046,"BlackPlayerName","Vincent Keymer"
"2021.06.07","1/2-1/2",2474,2436,93,16059056,"WhitePlayerName","Vincent Keymer"
"2021.06.07","1/2-1/2",2474,2436,93,16059056,"BlackPlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2509,85,16059060,"WhitePlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2509,85,16059060,"BlackPlayerName","Velimir Ivic"
"2021.06.07","Jan-00",2474,2436,62,16059064,"WhitePlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2436,62,16059064,"BlackPlayerName","Denis Lazavik"
"2021.06.07","1/2-1/2",2474,2436,111,16059066,"WhitePlayerName","Vincent Keymer"
"2021.06.07","1/2-1/2",2474,2436,111,16059066,"BlackPlayerName","Denis Lazavik"
"2021.06.07","1/2-1/2",2776,2770,23,16059286,"WhitePlayerName","Alexander Grischuk"
"2021.06.07","1/2-1/2",2776,2770,23,16059286,"BlackPlayerName","Wesley So"
"2021.06.07","1/2-1/2",2781,2820,34,16059302,"WhitePlayerName","Levon Aronian"
"2021.06.07","1/2-1/2",2781,2820,34,16059302,"BlackPlayerName","Fabiano Caruana"
"2021.06.07","1/2-1/2",2618,2552,29,16059304,"WhitePlayerName","Shant Sargsyan"
"2021.06.07","1/2-1/2",2618,2552,29,16059304,"BlackPlayerName","Tigran K Harutyunian"
"2021.06.07","0-1",2660,2629,43,16059306,"WhitePlayerName","Samuel Sevian"
"2021.06.07","0-1",2660,2629,43,16059306,"BlackPlayerName","David Paravyan"
"2021.06.07","1/2-1/2",2644,2660,44,16059310,"WhitePlayerName","Samvel Ter-Sahakyan"
"2021.06.07","1/2-1/2",2644,2660,44,16059310,"BlackPlayerName","Sam Sevian"
"2021.06.07","1/2-1/2",2625,2629,43,16059314,"WhitePlayerName","Manuel Petrosyan"
"2021.06.07","1/2-1/2",2625,2629,43,16059314,"BlackPlayerName","David Paravyan"
"2021.06.07","Jan-00",2618,2648,42,16059316,"WhitePlayerName","Shant Sargsyan"
"2021.06.07","Jan-00",2618,2648,42,16059316,"BlackPlayerName","Haik M Martirosyan"
"2021.06.07","Jan-00",2629,2598,50,16059320,"WhitePlayerName","David Paravyan"
"2021.06.07","Jan-00",2629,2598,50,16059320,"BlackPlayerName","Aram Hakobyan"
"2021.06.07","1/2-1/2",2598,2625,53,16059324,"WhitePlayerName","Aram Hakobyan"
"2021.06.07","1/2-1/2",2598,2625,53,16059324,"BlackPlayerName","Manuel Petrosyan"
"2021.06.07","1/2-1/2",2598,2644,47,16059330,"WhitePlayerName","Aram Hakobyan"
"2021.06.07","1/2-1/2",2598,2644,47,16059330,"BlackPlayerName","Samvel Ter-Sahakyan"
"2021.06.07","1/2-1/2",2648,2625,47,16059332,"WhitePlayerName","Haik Martirosyan"
"2021.06.07","1/2-1/2",2648,2625,47,16059332,"BlackPlayerName","Manuel Petrosyan"
"2021.06.08","Jan-00",2852,2466,35,16057712,"WhitePlayerName","David Gavrilescu"
"2021.06.08","Jan-00",2852,2466,35,16057712,"BlackPlayerName","Alex Garrido Outon"
"2021.06.08","Jan-00",2822,2445,27,16057738,"WhitePlayerName","Alan Pichot"
"2021.06.08","Jan-00",2822,2445,27,16057738,"BlackPlayerName","Guillermo Baches Garcia"
"2021.06.08","0-1",2507,2289,52,16057800,"WhitePlayerName","Vahap Sanal"
"2021.06.08","0-1",2507,2289,52,16057800,"BlackPlayerName","Antoni Kozak"
"2021.06.08","Jan-00",2673,2411,38,16057804,"WhitePlayerName","Etienne Bacrot"
"2021.06.08","Jan-00",2673,2411,38,16057804,"BlackPlayerName","Sai Nirupama Kotepalli"
"2021.06.08","0-1",2628,2474,22,16057836,"WhitePlayerName","Grigoriy Alekseyevich Oparin"
"2021.06.08","0-1",2628,2474,22,16057836,"BlackPlayerName","Lawrence Trent"
"2021.06.08","Jan-00",2673,2279,35,16057842,"WhitePlayerName","Etienne Bacrot"
"2021.06.08","Jan-00",2673,2279,35,16057842,"BlackPlayerName","Dmitry Vyatkin"
"2021.06.08","Jan-00",2553,2333,38,16057856,"WhitePlayerName","Alexander Anatolyevich Donchenko"
"2021.06.08","Jan-00",2553,2333,38,16057856,"BlackPlayerName","Ermes Espinosa Veloz"
"2021.06.08","0-1",2754,2555,45,16057862,"WhitePlayerName","Piotr Veniamínovich Svidler"
"2021.06.08","0-1",2754,2555,45,16057862,"BlackPlayerName","Mohammad Amin Tabatabaei"
"2021.06.08","Jan-00",2662,2386,34,16057874,"WhitePlayerName","Sergei Zhigalko"
"2021.06.08","Jan-00",2662,2386,34,16057874,"BlackPlayerName","Pavel Shkapenko"
"2021.06.08","1/2-1/2",2489,2105,67,16057884,"WhitePlayerName","Daniel Dardha"
"2021.06.08","1/2-1/2",2489,2105,67,16057884,"BlackPlayerName","Olga Karavaeva"
"2021.06.08","Jan-00",2782,2645,39,16057888,"WhitePlayerName","Dmitry Vladimirovich Andreikin"
"2021.06.08","Jan-00",2782,2645,39,16057888,"BlackPlayerName","Zhamsaran Tsydypov"
"2021.06.08","Jan-00",2900,2782,62,16057892,"WhitePlayerName","Hikaru Nakamura"
"2021.06.08","Jan-00",2900,2782,62,16057892,"BlackPlayerName","Dmitry Andreikin"
"2021.06.08","0-1",2555,2900,50,16057958,"WhitePlayerName","Seyyed Mohammad Amin Tabatabaei"
"2021.06.08","0-1",2555,2900,50,16057958,"BlackPlayerName","Hikaru Nakamura"
"2021.06.08","Jan-00",2507,2643,41,16057966,"WhitePlayerName","Vahap Sanal"
"2021.06.08","Jan-00",2507,2643,41,16057966,"BlackPlayerName","Nathan Solon"
"2021.06.08","1/2-1/2",2662,1984,70,16057972,"WhitePlayerName","Sergei Zhigalko"
"2021.06.08","1/2-1/2",2662,1984,70,16057972,"BlackPlayerName","Facundo Vazquez"
"2021.06.08","0-1",2651,2617,54,16057994,"WhitePlayerName","Nils Grandelius"
"2021.06.08","0-1",2651,2617,54,16057994,"BlackPlayerName","Narayanan Sunilduth Lyna"
"2021.06.08","Jan-00",2629,2546,77,16058000,"WhitePlayerName","Alexey Vasilyevich Sarana"
"2021.06.08","Jan-00",2629,2546,77,16058000,"BlackPlayerName","Valery Kazakouski"
"2021.06.08","Jan-00",2572,2151,75,16058002,"WhitePlayerName","Shamsiddin Vokhidov"
"2021.06.08","Jan-00",2572,2151,75,16058002,"BlackPlayerName","Kateryna Dolzhikova"
"2021.06.08","Jan-00",2555,2644,47,16058004,"WhitePlayerName","Seyyed Mohammad Amin Tabatabaei"
"2021.06.08","Jan-00",2555,2644,47,16058004,"BlackPlayerName","Gata Kamsky"
"2021.06.08","1/2-1/2",2748,2900,39,16058010,"WhitePlayerName","Baadur Jobava"
"2021.06.08","1/2-1/2",2748,2900,39,16058010,"BlackPlayerName","Hikaru Nakamura"
"2021.06.08","Jan-00",2754,2507,55,16058028,"WhitePlayerName","Piotr Veniamínovich Svidler"
"2021.06.08","Jan-00",2754,2507,55,16058028,"BlackPlayerName","Vahap Sanal"
"2021.06.08","0-1",2370,2723,48,16058060,"WhitePlayerName","David Gavrilescu"
"2021.06.08","0-1",2370,2723,48,16058060,"BlackPlayerName","Oleksandr Bortnyk"
"2021.06.08","1/2-1/2",2662,2644,75,16058080,"WhitePlayerName","Nodirbek Abdusattorov"
"2021.06.08","1/2-1/2",2662,2644,75,16058080,"BlackPlayerName","Gata Kamsky"
"2021.06.08","Jan-00",2643,2406,47,16058098,"WhitePlayerName","Aleksandar Indjic"
"2021.06.08","Jan-00",2643,2406,47,16058098,"BlackPlayerName","Maksim Novik"
"2021.06.08","1/2-1/2",2748,2735,65,16058102,"WhitePlayerName","Baadur Jobava"
"2021.06.08","1/2-1/2",2748,2735,65,16058102,"BlackPlayerName","Santosh Gujrathi Vidit"
"2021.06.08","Jan-00",2672,2431,47,16058134,"WhitePlayerName","Federico Perez Ponsa"
"2021.06.08","Jan-00",2672,2431,47,16058134,"BlackPlayerName","Ori Kobo"
"2021.06.08","Jan-00",2651,2513,48,16058158,"WhitePlayerName","Nils Grandelius"
"2021.06.08","Jan-00",2651,2513,48,16058158,"BlackPlayerName","Artiom Samsonkin"
"2021.06.08","0-1",2553,2629,76,16058174,"WhitePlayerName","Alexander Anatolyevich Donchenko"
"2021.06.08","0-1",2553,2629,76,16058174,"BlackPlayerName","Alexey Sarana"
"2021.06.08","Jan-00",2370,2309,39,16058200,"WhitePlayerName","David Gavrilescu"
"2021.06.08","Jan-00",2370,2309,39,16058200,"BlackPlayerName","Novendra Priasmoro"
"2021.06.08","0-1",2507,2366,51,16058204,"WhitePlayerName","Vahap Sanal"
"2021.06.08","0-1",2507,2366,51,16058204,"BlackPlayerName","Dmitry Goltsev"
"2021.06.08","0-1",2436,2773,40,16058244,"WhitePlayerName","Denis Lazavik"
"2021.06.08","0-1",2436,2773,40,16058244,"BlackPlayerName","Sergei Shipov"
"2021.06.08","Jan-00",2541,1975,66,16058258,"WhitePlayerName","Volodar Murzin"
"2021.06.08","Jan-00",2541,1975,66,16058258,"BlackPlayerName","Quoc Hy Nguyen"
"2021.06.08","Jan-00",2503,2003,59,16058280,"WhitePlayerName","Emre Can"
"2021.06.08","Jan-00",2503,2003,59,16058280,"BlackPlayerName","Olesya Shevtchenko"
"2021.06.08","Jan-00",2572,2521,36,16058298,"WhitePlayerName","Shamsiddin Vokhidov"
"2021.06.08","Jan-00",2572,2521,36,16058298,"BlackPlayerName","Alexandra Kosteniuk"
"2021.06.08","Jan-00",2595,2109,28,16058300,"WhitePlayerName","Andrey Evgenyevich Esipenko"
"2021.06.08","Jan-00",2595,2109,28,16058300,"BlackPlayerName","Murad Ibrahimli"
"2021.06.08","Jan-00",2657,2400,48,16058308,"WhitePlayerName","Gawain Christopher Bernard Jones"
"2021.06.08","Jan-00",2657,2400,48,16058308,"BlackPlayerName","Evgenij Kretov"
"2021.06.08","Jan-00",2643,2362,54,16058314,"WhitePlayerName","Aleksandar Indjic"
"2021.06.08","Jan-00",2643,2362,54,16058314,"BlackPlayerName","Eric S Rosen"
"2021.06.08","Jan-00",2657,2295,53,16058324,"WhitePlayerName","Gawain Christopher Bernard Jones"
"2021.06.08","Jan-00",2657,2295,53,16058324,"BlackPlayerName","Ivan Mezentsev"
"2021.06.08","Jan-00",2668,2584,31,16058328,"WhitePlayerName","Anton Korobov"
"2021.06.08","Jan-00",2668,2584,31,16058328,"BlackPlayerName","deribas12345"
"2021.06.08","Jan-00",2370,2236,33,16058332,"WhitePlayerName","David Gavrilescu"
"2021.06.08","Jan-00",2370,2236,33,16058332,"BlackPlayerName","Marcos Lianes Garcia"
"2021.06.08","Jan-00",2662,2035,25,16058338,"WhitePlayerName","Nodirbek Abdusattorov"
"2021.06.08","Jan-00",2662,2035,25,16058338,"BlackPlayerName","Borna Derakhshani"
"2021.06.08","1/2-1/2",2572,2146,37,16058358,"WhitePlayerName","Shamsiddin Vokhidov"
"2021.06.08","1/2-1/2",2572,2146,37,16058358,"BlackPlayerName","Garg Aradhya"
"2021.06.08","Jan-00",2573,2494,48,16058366,"WhitePlayerName","Vladislav Vladimirovich Kovalev"
"2021.06.08","Jan-00",2573,2494,48,16058366,"BlackPlayerName","Dmitri Maksimov"
"2021.06.08","Jan-00",2436,2431,33,16058368,"WhitePlayerName","Denis Lazavik"
"2021.06.08","Jan-00",2436,2431,33,16058368,"BlackPlayerName","Sarasadat Khademalsharieh"
"2021.06.08","0-1",2628,2493,41,16058384,"WhitePlayerName","Grigoriy Alekseyevich Oparin"
"2021.06.08","0-1",2628,2493,41,16058384,"BlackPlayerName","Oleg Rychkov"
"2021.06.08","Jan-00",2754,2446,37,16058388,"WhitePlayerName","Piotr Veniamínovich Svidler"
"2021.06.08","Jan-00",2754,2446,37,16058388,"BlackPlayerName","Alexey Jarovinsky"
"2021.06.08","Jan-00",2629,2414,33,16058400,"WhitePlayerName","Alexey Vasilyevich Sarana"
"2021.06.08","Jan-00",2629,2414,33,16058400,"BlackPlayerName","Leonid Starozhilov"
"2021.06.08","Jan-00",2452,1975,48,16058406,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.08","Jan-00",2452,1975,48,16058406,"BlackPlayerName","Quoc Hy Nguyen"
"2021.06.08","1/2-1/2",2782,2701,58,16058414,"WhitePlayerName","Dmitry Vladimirovich Andreikin"
"2021.06.08","1/2-1/2",2782,2701,58,16058414,"BlackPlayerName","Greg Shahade"
"2021.06.08","Jan-00",2672,2365,58,16058416,"WhitePlayerName","Federico Perez Ponsa"
"2021.06.08","Jan-00",2672,2365,58,16058416,"BlackPlayerName","Giuseppe Leiva"
"2021.06.08","Jan-00",2900,2459,34,16058420,"WhitePlayerName","Hikaru Nakamura"
"2021.06.08","Jan-00",2900,2459,34,16058420,"BlackPlayerName","Frederik Svane"
"2021.06.08","1/2-1/2",2555,2363,38,16058428,"WhitePlayerName","Seyyed Mohammad Amin Tabatabaei"
"2021.06.08","1/2-1/2",2555,2363,38,16058428,"BlackPlayerName","Konstantin Borsuk"
"2021.06.08","0-1",2573,2430,19,16058430,"WhitePlayerName","Vladislav Vladimirovich Kovalev"
"2021.06.08","0-1",2573,2430,19,16058430,"BlackPlayerName","Nikoloz Petriashvili"
"2021.06.08","Jan-00",2555,2472,30,16058434,"WhitePlayerName","Seyyed Mohammad Amin Tabatabaei"
